machine_id,reading_ts,temperature_c,vibration_mm_s,pressure_bar,runtime_hours,power_kw,operating_mode,error_code
MCH_A01,2026-04-20 00:00:00,84.57,2.431,11.97,1950,153.16,RUNNING,
MCH_A01,2026-04-20 01:00:00,84.4,2.554,12.06,1951,155.24,RUNNING,
MCH_A01,2026-04-20 02:00:00,82.23,2.727,11.91,1952,158.94,RUNNING,
MCH_A01,2026-04-20 03:00:00,87.77,2.426,12.09,1953,151.12,RUNNING,
MCH_A01,2026-04-20 04:00:00,77.34,2.287,11.78,1954,153.94,STARTUP,
MCH_A01,2026-04-20 05:00:00,89.25,2.787,12.1,1955,137.07,RUNNING,
MCH_A01,2026-04-20 06:00:00,86.2,2.339,11.78,1956,155.29,RUNNING,
MCH_A01,2026-04-20 07:00:00,86.87,2.887,12.34,1957,149.58,IDLE,
MCH_A01,2026-04-20 08:00:00,90.63,2.816,12.08,1958,145.71,RUNNING,
MCH_A01,2026-04-20 09:00:00,83.72,3.104,11.58,1959,156.09,RUNNING,
MCH_A01,2026-04-20 10:00:00,80.67,2.414,11.71,1960,152.59,RUNNING,
MCH_A01,2026-04-20 11:00:00,86.33,2.65,12.26,1961,154.02,RUNNING,
MCH_A01,2026-04-20 12:00:00,83.36,2.651,11.46,1962,146.47,RUNNING,
MCH_A01,2026-04-20 13:00:00,84.73,2.447,11.76,1963,151.97,RUNNING,
MCH_A01,2026-04-20 14:00:00,89.0,2.952,12.16,1964,145.51,RUNNING,
MCH_A01,2026-04-20 15:00:00,86.41,2.129,12.21,1965,150.01,RUNNING,
MCH_A01,2026-04-20 16:00:00,86.58,2.343,12.02,1966,155.82,RUNNING,
MCH_A01,2026-04-20 17:00:00,86.19,1.947,12.19,1967,153.69,IDLE,
MCH_A01,2026-04-20 18:00:00,92.63,2.431,12.01,1968,143.12,RUNNING,
MCH_A01,2026-04-20 19:00:00,88.61,2.384,12.0,1969,151.64,RUNNING,
MCH_A01,2026-04-20 20:00:00,89.82,6.983,12.07,1970,159.69,RUNNING,
MCH_A01,2026-04-20 21:00:00,90.5,3.136,11.88,1971,142.23,RUNNING,E565
MCH_A01,2026-04-20 22:00:00,87.0,6.376,12.25,1972,156.18,RUNNING,
MCH_A01,2026-04-20 23:00:00,87.66,2.838,11.87,1973,149.44,RUNNING,
MCH_A01,2026-04-21 00:00:00,80.61,2.958,11.93,1974,149.55,IDLE,
MCH_A01,2026-04-21 01:00:00,87.3,2.491,11.83,1975,150.28,MAINTENANCE,
MCH_A01,2026-04-21 02:00:00,81.01,3.276,12.04,1976,146.4,IDLE,
MCH_A01,2026-04-21 03:00:00,86.56,6.022,11.99,1977,148.41,RUNNING,
MCH_A01,2026-04-21 04:00:00,84.61,2.869,11.98,1978,152.37,RUNNING,
MCH_A01,2026-04-21 05:00:00,90.16,2.617,11.97,1979,155.73,STARTUP,
MCH_A01,2026-04-21 06:00:00,88.66,2.663,11.83,1980,144.67,RUNNING,
MCH_A01,2026-04-21 07:00:00,89.28,3.289,12.02,1981,148.09,IDLE,
MCH_A01,2026-04-21 08:00:00,86.07,3.343,11.66,1982,148.2,IDLE,
MCH_A01,2026-04-21 09:00:00,87.94,2.719,11.98,1983,151.55,RUNNING,
MCH_A01,2026-04-21 10:00:00,84.39,3.152,12.19,1984,149.14,RUNNING,
MCH_A01,2026-04-21 11:00:00,90.8,1.896,12.04,1985,151.12,RUNNING,E552
MCH_A01,2026-04-21 12:00:00,85.71,2.567,11.86,1986,149.69,RUNNING,
MCH_A01,2026-04-21 13:00:00,83.06,2.695,11.87,1987,154.21,IDLE,
MCH_A01,2026-04-21 14:00:00,87.55,3.359,11.75,1988,156.17,RUNNING,
MCH_A01,2026-04-21 15:00:00,82.02,2.034,11.82,1989,157.39,RUNNING,
MCH_A01,2026-04-21 16:00:00,86.18,2.866,11.96,1990,149.66,RUNNING,
MCH_A01,2026-04-21 17:00:00,84.36,2.733,12.42,1991,157.1,RUNNING,
